,venue,team1,team2,toss_winner,toss_decision,first_average,second_average
269,8,8,6,6,1,0.7015610998395336,0.7126093061362192
270,5,5,2,2,2,0.7021448105364912,0.7120341740651742
271,8,8,7,7,2,0.7314209193881557,0.6819262707077541
272,6,6,4,6,1,0.7027820897865867,0.7114051829128025
273,-1,2,3,3,1,0.747156366248953,0.664648301264406
274,7,1,4,4,2,0.7816794425127899,0.6236804062602047
275,1,2,1,2,2,0.8520516414903597,0.5234577349066336
276,1,3,1,1,1,0.7034143927642639,0.7107799885000153
277,3,3,2,3,2,0.7016467397821332,0.7125249838097633
278,7,7,4,4,2,0.7116248962864855,0.7025596109834729
279,2,2,6,6,1,0.7178349014848601,0.6962133683076053
280,1,1,4,4,1,0.7287741048448708,0.6847541924716908
281,6,6,3,3,2,0.7548296211539104,0.6559209121751222
282,4,4,2,4,1,0.7845001195962519,0.620128665966561
283,7,7,8,8,1,0.7027554777966536,0.7114314713496986
284,5,5,1,1,2,0.7020381095567656,0.7121393773201723
285,7,7,3,7,2,0.7025596109834729,0.7116248962864855
286,2,2,8,2,1,0.7009849862549792,0.7131760294941962
287,1,1,7,1,2,0.7028600079314319,0.7113282007980757
288,3,3,8,3,1,0.8058384574002245,0.5921354410730931
289,6,6,5,6,2,0.7014727307159014,0.7126962944073558
290,5,5,3,3,2,0.7161134029720344,0.697983949732236
291,6,6,4,6,1,0.8884259068574284,0.459020051876338
292,2,2,1,1,1,0.8965267153275626,0.4429896711030309
293,8,8,5,5,1,0.7014274816167628,0.7127408280944525
294,3,3,1,3,1,0.7012389761168877,0.7129262923855025
295,7,7,6,7,2,0.7011399518137406,0.7130236798105836
296,2,2,4,4,1,0.7027554777966536,0.7114314713496986
297,1,1,6,6,1,0.7033154053030363,0.7108779365428538
298,2,2,5,5,2,0.7012872659320248,0.7128787909887525
299,3,3,4,3,1,0.702701259061168,0.7114850247994325
300,1,1,8,8,1,0.702701259061168,0.7114850247994325
301,3,3,5,5,1,0.7024085519692114,0.7117739993288008
302,6,6,8,8,1,0.7022471119478896,0.7119332790092399
303,4,4,7,4,1,0.818245042648376,0.5748695940657822
304,1,1,3,3,2,0.7321444925110682,0.6811493537292027
305,6,6,7,6,2,0.7030077142592762,0.7111822225646166
306,4,4,5,4,1,0.7152336322947743,0.6988854349851795
307,8,8,4,4,1,0.7016885755159995,0.7124837843700919
308,-1,2,3,3,1,0.7019643891790419,0.7122120444955242
309,1,1,5,1,1,0.7360094515594507,0.6769712602578906
310,3,3,6,6,1,0.7018103226793718,0.7123638613662797
311,8,8,2,2,1,0.6984315939659476,0.7156768185083165
312,4,4,1,4,1,0.8682431421244593,0.4961389383568338
313,5,5,7,5,2,0.7034143927642639,0.7107799885000153
314,6,6,2,2,1,0.7025596109834729,0.7116248962864855
315,4,4,3,4,1,0.8499472087589907,0.52686786040031
316,8,8,1,8,2,0.8360479108370626,0.5486564414868224
317,5,5,6,6,2,0.702280281445106,0.7119005592731212
318,2,2,7,2,2,0.7148340255851473,0.6992941554637311
319,5,5,8,5,2,0.780364362336882,0.6253250850514087
320,1,3,7,3,2,0.7010375280810152,0.7131243820134464
321,6,6,1,6,2,0.7021448105364912,0.7120341740651742
322,4,4,8,8,1,0.7031675589124661,0.7110241796824377
323,7,7,5,5,2,0.7030777803619778,0.7111129549946862
324,1,1,2,1,1,0.7790666012028773,0.6269411701987652
325,4,4,6,6,2,0.7373373852880781,0.6755246703537483
326,5,5,2,2,2,0.7216387983118182,0.6922697774502907
327,8,8,6,8,1,0.7686809838308707,0.6396323515088997
328,5,5,4,4,2,0.8083559597589158,0.588694014172254
329,7,7,1,1,2,0.7901468143460303,0.6129176223431824
330,8,8,3,3,1,0.70172977504731,0.7124432067274217
331,2,1,4,1,1,0.7995026253570245,0.600662594180148
332,2,6,8,8,1,0.7018103226793718,0.7123638613662797
333,3,4,6,6,1,0.7028600079314319,0.7113282007980757
334,3,1,4,4,1,0.7635806360607197,0.645712484185575
335,-1,4,3,3,1,0.8,0.6
336,-1,2,7,7,2,0.702280281445106,0.7119005592731212
337,-1,1,5,1,1,0.7036825952557098,0.7105144651125613
338,-1,8,6,6,2,0.7018496983061259,0.7123250669375606
339,-1,7,4,7,2,0.7010375280810152,0.7131243820134464
340,-1,3,2,3,1,0.7028853604521851,0.7113031492001155
341,-1,6,5,5,2,0.7034335732294192,0.7107610062838924
342,-1,1,2,1,1,0.9023914415646596,0.4309172614213262
343,-1,5,8,8,2,0.8465241867669326,0.5323502617812669
344,-1,6,1,6,2,0.7248710666535125,0.6888845597983736
345,-1,7,3,7,2,0.7118050086811265,0.7023771277714427
346,-1,8,2,8,1,0.7147920372564626,0.6993370742887552
347,-1,1,4,4,1,0.7021448105364912,0.7120341740651742
348,-1,6,7,6,2,0.6972186097474783,0.7168585705854353
349,-1,3,5,3,2,0.7705905498785462,0.6373305299747375
350,-1,2,4,4,1,0.7015172645143206,0.7126524591891511
